product_id,old_sku,new_sku,name
8099,,TZ-PLAY-THEO-C5A4,"The Order: 1886"
8098,,TZ-PLAY-THEO-7021,"The Outerworlds"
8097,,TZ-PLAY-TEAR-D5DD,"Tearaway Unfolded"
8096,,TZ-PLAY-TOMC-C0D5,"Tom Clancy's The Division"
8095,,TZ-PLAY-TOMC-0EAF,"Tom Clancy's Rainbow Six Siege"
8094,,TZ-PLAY-TOMC-DC37,"Tom Clancy's Ghost Recon Wildlands"
8093,,TZ-PLAY-STAR-266E,"Star Wars: Battlefront II Elite Trooper Deluxe Edition"
8092,,TZ-PLAY-STAR-CD67,"Star Wars: Battlefront II"
8091,,TZ-PLAY-STAR-CA17,"Star Wars: Battlefront"
8090,,TZ-PLAY-SEBA-5C42,"Sebastienloeb Rallyevo"
8089,,TZ-PLAY-SHAD-B4D6,"Shadow of the Colossus"
8088,,TZ-PLAY-SHAD-B01F,"Shadow Of War Silver Edition"
8087,,TZ-PLAY-SHAD-E6E4,"Shadow Of War"
8086,,TZ-PLAY-SIMS-8630,"Sims 4 Cats & Dogs Bundle"
8085,,TZ-PLAY-SINK-3D2B,"Sinking City"
8083,,TZ-PLAY-STAR-9FBB,"Star Ocean Integrity and Faithlessness"
8082,,TZ-PLAY-REDF-DE33,"Red Faction Guerrilla Remarstered"
8081,,TZ-PLAY-ROMA-7F7F,"Romance Of The Three Kingdoms XIII"
8080,,TZ-PLAY-RISE-FED0,"Rise Of The Tomb Raider"
8079,,TZ-PLAY-RAGE-E8AD,"Rage 2"
8078,,TZ-PLAY-RESI-8901,"Resident Evil 5"
8077,,TZ-PLAY-RESI-5EE5,"Resident Evil 2"
8076,,TZ-PLAY-PURE-C767,"Pure Hold'Em World Poker Championship"
8075,,TZ-PLAY-PROE-152A,"Pro Evolution Soccer 2017"
8074,,TZ-PLAY-PILL-A845,"Pillars Complete Eternity Edition"
8073,,TZ-PLAY-PES2-A508,"PES 2017 Winning Eleven"
8072,,TZ-PLAY-PERS-AF57,"Persona 5"
8071,,TZ-PLAY-OVER-56BF,"Overcooked! + Overcooked! 2"
8070,,TZ-PLAY-OWLB-469E,"Owlboy"
8069,,TZ-PLAY-OVER-34DA,"Overwatch: Origins Edition"
8068,,TZ-PLAY-ONEP-2B8A,"One Punch Man: A Hero Nobody Knows"
